True_SMILES,Corrupted_SMILES,Recovered_SMILES,Is_Valid
Br.Br.Br.CN1C(=N)c2cccnc2N(C)C1=N,[MASK].Br.Br.CN1C([MASK]N[MASK][MASK][MASK][MASK]ccnc2N(C)C1=N,Br.Br.Br.CN1C(=N)c2cccnc2N(C)C1=N,True
Br.Br.C[n+]1ccc(CCCc2c(C=NO)[nH]c3ccccc23)cc1,[MASK].Br.C[MASK][MASK][MASK][MASK]c[MASK][MASK]C[MASK][MASK]2[MASK](C[MASK][MASK]O[MASK][nH]c3[MASK][MASK]ccc[MASK][MASK][MASK]c[MASK][MASK],Br.Br.COc1ccc(CN[n+]2c(C)=O)[nH]c3ccccc23)cc1,False
Br.CC(=O)Nc1cc(C)c(S(=O)(=O)N2CCN(Cc3cc(C)cc(C)c3)CC2)cc1C,Br.CC[MASK]=O)Nc1c[MASK]([MASK])[MASK]([MASK](=O)([MASK]O)N2C[MASK][MASK](C[MASK]3[MASK][MASK](C)cc(C[MASK]c3)CC2)cc[MASK]C,Br.CC(=O)Nc1cc(C)c(S(=O)(=O)N2CCN(Cc3cc(C)cc(C)c3)CC2)cc1C,True
Br.CN(C(=O)CNC(=O)c1cccc(S(=O)(=O)N2CCCS2(=O)=O)c1)c1cccc(C(=O)NCc2ccccc2)c1,[MASK].[MASK][MASK][MASK][MASK]([MASK]O[MASK]C[MASK]C[MASK]=[MASK])c1[MASK]cc[MASK]([MASK][MASK]=O[MASK](=O[MASK][MASK]2C[MASK][MASK][MASK][MASK](=[MASK][MASK]=O)[MASK]1)[MASK]1[MASK][MASK][MASK][MASK][MASK][MASK][MASK]=O[MASK]NC[MASK]2cc[MASK]cc2)[MASK]1,Cl.CN(C(=O)CNC(=O)c1cccc(S(=O)(=O)N2CCCS2(=O)=O)c1)c1cccc(C(=O)NCc2ccccc2)c1,True
Br.COC(=O)[C@@]1(C)CCC[C@@]2(C)[C@@H]3C[C@@H](O)[C@]4(C)[C@@H](c5cccc(O)c5)CC[C@]4(C)[C@]3(C)C[C@H](O)[C@@H]12,[MASK].C[MASK]C(=O[MASK][C@@]1[MASK]C[MASK]C[MASK][MASK][C@@]2([MASK][MASK][C@@H]3[MASK][MASK](O[MASK][C@]4([MASK])[MASK]([MASK]5[MASK]c[MASK][MASK][MASK][MASK])[MASK][MASK][MASK][MASK][MASK][MASK][MASK](C[MASK][MASK][MASK]([MASK])C[C@H][MASK]O[MASK][C@@H][MASK]2,C.COC(=O)[C@@]1(C)CCC[C@@]2(C)[C@@H]3C[C@@H](O)[C@]4(C)C(c5ccccc5)CC4CC[C@][C@@H](C)[C@]3(O)C[C@H](O)[C@@H]12,True
Br.COc1cc(CNCCNCCCCN(C2CCCC2)S(=O)(=O)c2ccc(C)cc2)ccc1OCCCNC1CCCC1,Br[MASK][MASK][MASK][MASK][MASK][MASK]c[MASK]CNC[MASK][MASK][MASK][MASK][MASK][MASK][MASK][MASK][MASK][MASK]CCCC2[MASK][MASK][MASK][MASK]O[MASK](=O[MASK][MASK][MASK][MASK][MASK]c[MASK][MASK])[MASK]c[MASK][MASK]c[MASK][MASK][MASK][MASK]CC[MASK][MASK]C[MASK][MASK][MASK][MASK]C1,Br.Cc1ccc(CNC(=O)C(CC2CCCCC2)S(=O)(=O)c2ccc(Cl)cc2)cc1N1CCN(CCC)CC1,True
Br.COc1ccc(/C=N/NC(=N)N)cc1.Cl,Br.[MASK]O[MASK][MASK]c[MASK][MASK]([MASK]C=[MASK]/N[MASK][MASK]=N)N)c[MASK]1[MASK][MASK],Br.COc1ccc(/C=N/NC(=N)N)cc1OCl,True
Br.COc1ccc(Cl)cc1N1CCN(CCCNC(=O)n2c(=N)n(Cc3ccc(OC)cc3)c3ccccc32)CC1,[MASK].[MASK][MASK]c1[MASK]cc(Cl)cc1N1CC[MASK](CCCNC(=O[MASK][MASK][MASK]c([MASK][MASK][MASK][MASK](Cc[MASK][MASK]cc(O[MASK])[MASK][MASK][MASK])c3[MASK][MASK]cc[MASK][MASK][MASK])CC[MASK],Cl.COc1ccc(Cl)cc1N1CCN(CCCNC(=O)c2c(=O)n(Cc3ccc(OC)cc3)c3ccccc23)CC1,False
Br.Cc1cc2occ(CC(=O)O)c2c(C)c1CC(=O)c1ccccc1O,Br.C[MASK][MASK][MASK][MASK][MASK][MASK][MASK][MASK][MASK][MASK][MASK]([MASK]O[MASK][MASK])[MASK][MASK]c[MASK][MASK][MASK]c1C[MASK][MASK][MASK]O)[MASK]1cc[MASK][MASK]c1O,Br.CC(CCCCCCC(C(=O)O)c1ccccc1CC(=O)c1ccccc1O,False
Br.Cc1cccc2nc(-c3cccc(CNC(=N)N)c3)oc12,[MASK][MASK]C[MASK]1c[MASK][MASK][MASK][MASK]nc([MASK]c3[MASK][MASK][MASK][MASK][MASK][MASK][MASK][MASK][MASK]=[MASK][MASK][MASK][MASK]c[MASK][MASK]o[MASK][MASK]2,N#Cc1cccc2nc(-c3cccc(C(C(=O)O)c3)oc12,False
